# Long	Lat	Depth	Mag
-28.73	-55.69	35	6.9
-23.662	-60.879	10	7
-27.512	-56.152	35	6.3
-56.101	-53.685	10	6.7
-29.434	-55.342	15	8.1
-28.239	-54.072	15	6.6
-29.142	-55.112	15	6.5
-25.233	-56.44	10	6.6
-70.637	-56.21	10	6.3
-27.423	-55.802	35	6.9
-26.838	-60.041	35	7.5
-58.67	-60.213	10	6.6
-46.353	-51.844	10	6.3
-27.278	-58.955	15	6.6
-25.387	-60.185	10	6.4
-22.013	-60.787	10	6.8
-24.481	-56.517	10	6.3
-35.937	-60.679	10	7
-48.739	-60.131	10	6.3
-49.364	-60.255	10	6.7
-28.36	-60.371	20	7
-26.76	-60.266	15	6.5
-26.411	-56.726	77.3	6.8
-65.098	-57.305	10	6.3
-35.164	-60.486	10	6.4
-29.073	-55.227	15	6.4
-29.722	-55.717	35	6.4
-69.596	-53.923	10	7.7
-69.753	-53.911	10	7.3
-21.59	-60.013	10	6.7
-71.073	-53.472	15	6.8
-34.467	-60.237	15	6.4
-34.821	-60.426	15	5.8
-28.658	-59.82	15	5.9
-23.658	-57.427	15	6.4
-23.048	-59.669	15	6.1
-22.11	-61.11	10	6.3
-28.038	-56.503	15	5.8
-25.792	-56.505	15	6.5
-25.512	-56.763	15	6.3
-25.564	-57.05	15	5.8
-54.183	-53.738	15	6.4
-28.985	-55.636	15	6.3
-27.279	-56.06	70	5.9
-66.066	-57.852	15	6
-20.063	-59.415	15	6.4
-24.277	-60.5	15	6
-28.199	-55.557	15	6.2
-65.934	-57.732	15	5.8
-23.88	-56.564	15	5.6
-25.764	-59.572	25	6.5
-26.134	-59.674	25	6.6
-72.666	-50.612	15	6.1
-25.07	-57.697	25	6
-27.603	-54.384	10	6.4
-26.266	-59.935	25	7
-26.042	-59.815	25	5.8
-27.278	-55.591	35	6.2
-27.115	-55.57	15	5.9
-27.475	-55.585	35	6
-27.135	-55.667	35	6
-65.672	-58.134	15	6.4
-24.872	-60.562	15	6
-24.838	-60.633	15	5.9
-26.368	-59.742	25	5.7
-73.157	-50.88	15	6
-20.847	-60.587	15	5.8
-27.757	-56.053	80	5.8
-25.489	-60.607	15	6.4
-24.877	-56.774	20	6.3
-24.971	-56.831	20	6
-24.958	-56.97	20	5.8
-26.801	-59.274	129.2	7.3
-27.345	-56.332	100.9	7.1
-23.864	-59.349	10	6.1
-33.692	-60.211	15	5.7
-34.008	-60.279	15	6.2
-33.774	-60.277	15	5.9
-34.185	-60.122	15	6.5
-28.599	-55.61	25	6.8
-25.077	-56.798	10	6.2
-22.047	-61.009	15	5.8
-27.634	-55.91	60	5.8
-25.27	-58.583	35	6
-51.012	-60.371	15	5.9
-26.064	-56.529	35	6.7
-57.375	-60.526	10	6.1
-27.655	-56.323	125	7.8
-27.455	-55.952	125	6
-27.728	-56.214	125	5.6
-27.488	-56.156	125	6
-27.851	-55.931	120	5.6
-23.557	-59.076	15	5.8
-27.043	-56.452	95	6
-26.758	-55.857	35	5.7
-26.454	-59.687	25	6.1
-26.372	-59.586	25	6.1
-27.875	-55.957	125	6
-38.244	-54.757	10	5.8
-24.551	-60.468	10	6
-25.091	-59.225	20	5.8
-26.465	-59.548	60	5.6
-25.965	-56.79	40	6.3
-27.079	-55.495	15	6
-27.199	-60.244	20	6.7
-26.922	-60.256	20	6.2
-26.485	-60.354	20	6.1
-27.62	-56.111	100	5.7
-25.518	-57.964	35	5.8
-25.663	-57.94	65	6.1
-28.129	-55.604	30	5.9
-65.47	-59.076	10	5.7
-27.608	-56.191	125	5.8
-26.956	-58.375	163.4	6
-24.301	-60.761	10	6.6
-23.378	-60.898	10	5.7
-23.802	-57.799	10	6.3
-27.854	-55.446	15	5.8
-25.712	-58.456	45	5.7
-27.225	-56.186	100.9	6
-27.842	-56.096	80.1	6
-26.865	-56.756	130	6.4
-25.793	-57.655	45	5.7
-25.372	-57.734	15	5.9
-55.595	-60.925	25	6
-28.582	-59.825	140	5.8
-28.148	-55.801	55	6.1
-26.041	-57.45	40	5.8
-74.07	-52.028	15	7
-64.499	-54.476	10	7.2
-25.255	-60.571	20	5.7
-27.421	-56.276	101.1	5.7
-26.54	-59.661	25	5.9
-27.564	-56.167	110	6
-27.657	-56.037	70	5.9
-26.159	-55.902	35	5.8
-27.393	-56.628	165	5.8
-25.523	-57.32	25	5.7
-28.876	-55.692	57.7	6
-73.917	-51.852	15	6
-26.999	-55.829	32.5	5.9
-25.668	-60.759	35	6.3
-29.108	-55.247	15	6.1
-26.72	-57.842	135	5.5
-74.095	-51.974	15	5.8
-28.344	-55.532	17.3	6.5
-28.205	-55.494	35	5.7
-28.754	-55.471	33	5.4
-27.458	-56.073	101	5.3
-28.084	-55.411	33	5.1
-26.774	-55.654	33	5.6
-27.958	-55.336	33	5.2
-27.844	-55.909	33	5.7
-26.674	-55.542	33	4.7
-37.881	-61.037	33	6.4
-28.582	-55.322	33	5.5
-26.916	-55.695	33	5.4
-25.246	-57.906	33	5.2
-27.42	-56.104	33	5.1
-31.282	-59.918	33	5.5
-26.668	-57.379	33	5.1
-72.036	-52.459	11	5.1
-25.549	-60.613	33	4.8
-27.604	-59.951	95	4.7
-27.518	-59.943	95	5.4
-26.097	-59.281	67	6
-28.319	-55.793	33	5.1
-26.631	-58.517	33	5.3
-26.5	-56.895	117	5.2
-25.384	-57.872	75	4.8
-25.271	-56.05	33	4.4
-27.995	-55.604	33	4.9
-26.551	-56.637	33	5.4
-25.515	-58.284	50	5.4
-26.44	-56.245	33	4.5
-25.368	-58.939	33	5
-28.304	-55.713	70	5.4
-25.024	-58.765	33	4.8
-24.983	-58.323	33	5.5
-27.778	-55.841	130	4.9
-25.078	-58.155	33	5.3
-24.925	-58.252	33	5.1
-26.132	-59.586	65	5.2
-27.137	-56.185	33	4.6
-26.132	-59.074	147	4.5
-28.541	-55.157	33	5.2
-24.671	-58.829	31	5.4
-21.549	-60.823	33	7
-28.102	-55.505	33	5.1
-57.827	-60.103	33	4.6
-25.639	-57.846	97	5.2
-25.192	-57.979	33	5
-61.892	-58.76	33	5.1
-29.469	-55.319	33	5
-26.239	-59.323	33	5.1
-26.458	-55.107	33	5.1
-28.205	-55.781	33	4.6
-28.136	-55.816	42	4.5
-28.16	-55.761	33	4.5
-28.154	-55.694	33	4.4
-28.119	-55.696	33	4.6
-28.204	-55.774	33	4.5
-28.182	-55.767	33	5.2
-27.268	-55.671	33	4.4
