time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-21T18:54:11.441Z,-25.4584,-69.4466,116.6,4.4,mb,,80,1.2,0.69,us,us7000d26i,2021-01-21T19:27:18.040Z,"104 km E of Taltal, Chile",earthquake,6.3,7.2,0.268,4,reviewed,us,us
2021-01-21T06:26:03.352Z,-24.129,-67.269,211.33,4.7,mb,,74,1.438,0.72,us,us7000d1y7,2021-01-21T07:20:44.040Z,"97 km W of San Antonio de los Cobres, Argentina",earthquake,7.4,8.1,0.152,13,reviewed,us,us
2021-01-20T04:07:48.307Z,-31.8578,-68.9974,10,4.4,mb,,67,0.41,0.67,us,us7000d1je,2021-01-21T00:35:24.040Z,"42 km SW of Villa Basilio Nievas, Argentina",earthquake,4.7,1.9,0.219,6,reviewed,us,us
2021-01-19T23:56:59.623Z,-22.9626,-66.429,279.26,4.2,mb,,77,1.612,0.64,us,us7000d1i4,2021-01-20T00:21:15.040Z,"79 km WSW of Abra Pampa, Argentina",earthquake,9.6,12.8,0.216,6,reviewed,us,us
2021-01-19T22:57:27.580Z,-23.397,-66.8521,222.57,4.3,mb,,95,1.298,0.38,us,us7000d1hm,2021-01-20T00:00:52.432Z,"105 km NNW of San Antonio de los Cobres, Argentina",earthquake,4.2,13.2,0.238,5,reviewed,us,us
2021-01-19T06:04:12.982Z,-31.8866,-68.8567,10,4.3,mb,,118,0.37,1.13,us,us7000d1ai,2021-01-19T20:47:40.887Z,"34 km SW of Pocito, Argentina",earthquake,4,2,0.238,5,reviewed,us,us
2021-01-19T04:01:41.348Z,-31.8336,-68.8113,10,4.8,mb,,68,0.306,0.96,us,us7000d19e,2021-01-20T01:28:37.040Z,"27 km SW of Pocito, Argentina",earthquake,4.8,1.9,0.139,16,reviewed,us,us
2021-01-19T03:51:52.995Z,-31.8381,-68.8794,10,4.9,mb,,129,0.335,0.93,us,us7000d19c,2021-01-20T01:18:59.040Z,"32 km WSW of Pocito, Argentina",earthquake,6.5,1.9,0.11,26,reviewed,us,us
2021-01-19T03:37:47.683Z,-31.7838,-68.7414,29,5.3,mb,,43,0.242,0.67,us,us7000d194,2021-01-20T01:09:02.476Z,"18 km SW of Pocito, Argentina",earthquake,1.6,3.9,0.037,240,reviewed,us,us
2021-01-19T03:08:30.463Z,-31.8528,-68.9414,10,4.8,mb,,93,0.376,0.84,us,us7000d18w,2021-01-20T00:45:09.040Z,"38 km WSW of Pocito, Argentina",earthquake,2.8,1.9,0.21,7,reviewed,us,us
2021-01-19T03:03:44.006Z,-31.8591,-68.8072,10,4.9,mb,,50,0.329,0.62,us,us7000d18u,2021-01-20T00:26:24.040Z,"28 km SW of Pocito, Argentina",earthquake,5.4,1.9,0.114,24,reviewed,us,us
2021-01-19T02:46:22.380Z,-31.8232,-68.8182,20,6.4,mww,,21,0.299,0.99,us,us7000d18q,2021-01-21T07:44:56.236Z,"27 km SW of Pocito, Argentina",earthquake,2.8,1.7,0.055,32,reviewed,us,us
2021-01-18T22:57:04.486Z,-31.9589,-70.1291,118.05,4.4,mb,,71,0.723,1.16,us,us7000d17v,2021-01-19T03:30:28.796Z,"81 km ESE of Salamanca, Chile",earthquake,5.6,6.7,0.149,13,reviewed,us,us
2021-01-18T15:25:20.483Z,-23.0404,-66.7003,243.51,4.5,mb,,79,1.365,0.59,us,us7000d148,2021-01-18T15:58:57.040Z,"106 km W of El Aguilar, Argentina",earthquake,7.7,13.3,0.241,6,reviewed,us,us
2021-01-18T05:45:57.156Z,-30.1319,-71.6088,33.35,4.9,mb,,143,0.385,0.67,us,us7000d11h,2021-01-19T03:33:12.831Z,"32 km SW of Coquimbo, Chile",earthquake,5.7,5.7,0.079,51,reviewed,us,us
2021-01-18T01:48:33.922Z,-32.502,-69.5472,122.51,4.5,mb,,65,0.886,0.86,us,us7000d10a,2021-01-18T13:38:13.090Z,"80 km WNW of Mendoza, Argentina",earthquake,5.7,4.3,0.121,20,reviewed,us,us
2021-01-17T18:40:42.767Z,-56.3823,-27.1543,90.72,5.2,mww,,69,5.727,0.68,us,us7000d0y2,2021-01-18T19:46:48.426Z,"South Sandwich Islands region",earthquake,10.1,5.9,0.086,13,reviewed,us,us
2021-01-17T12:32:12.891Z,-31.8113,-71.5658,47.13,4.6,mb,,162,0.553,0.91,us,us7000d0w9,2021-01-18T00:46:19.983Z,"42 km WSW of Illapel, Chile",earthquake,5.3,13.2,0.165,11,reviewed,us,us
2021-01-17T12:24:32.364Z,-34.9596,-71.0786,96.11,4.7,mwr,,85,0.295,0.61,us,us7000d0w6,2021-01-17T13:05:47.491Z,"12 km SE of Teno, Chile",earthquake,4.7,4.5,0.061,26,reviewed,us,us
2021-01-17T12:24:07.665Z,-24.1442,-66.8924,224.45,4.6,mb,,84,1.673,0.93,us,us7000d0w8,2021-01-17T12:38:33.040Z,"Salta, Argentina",earthquake,7.8,9.6,0.164,11,reviewed,us,us
2021-01-17T08:05:24.128Z,-27.9506,-66.9224,157.15,4.6,mb,,43,2.254,0.81,us,us7000d0tk,2021-01-17T08:22:36.040Z,"33 km SE of Londres, Argentina",earthquake,5.5,6.7,0.046,144,reviewed,us,us
2021-01-16T23:28:35.279Z,-57.5791,-26.0912,88.73,4.8,mb,,82,6.709,0.72,us,us7000d0q5,2021-01-16T23:46:36.040Z,"South Sandwich Islands region",earthquake,12.5,1.4,0.113,24,reviewed,us,us
2021-01-16T15:12:23.711Z,-45.7211,-77.7159,15.19,4.2,mb,,187,3.9,0.95,us,us7000d0nm,2021-01-16T16:59:26.040Z,"Off the coast of Aisen, Chile",earthquake,12.6,6.6,0.236,5,reviewed,us,us
2021-01-16T03:53:36.174Z,-31.0355,-71.4708,62.2,5,mww,,56,0.387,1.02,us,us7000d0k5,2021-01-19T03:11:17.799Z,"54 km SSW of Ovalle, Chile",earthquake,3.7,4.7,0.058,29,reviewed,us,us
2021-01-15T20:37:55.823Z,-23.9805,-67.3575,207.77,4.7,mb,,89,1.271,1.32,us,us7000d0fz,2021-01-15T22:53:23.040Z,"108 km WNW of San Antonio de los Cobres, Argentina",earthquake,8,4.8,0.165,12,reviewed,us,us
2021-01-13T21:20:31.369Z,-20.61,-66.5247,240.03,4.1,mb,,69,2.509,1.04,us,us6000d842,2021-01-13T22:21:16.040Z,"35 km ESE of Uyuni, Bolivia",earthquake,8.4,25.1,0.213,6,reviewed,us,us
2021-01-13T11:36:06.358Z,-29.1626,-67.8643,164.81,4.3,mb,,87,2.105,0.96,us,us6000d803,2021-01-13T11:54:42.040Z,"35 km W of Chilecito, Argentina",earthquake,4.6,10.4,0.201,7,reviewed,us,us
2021-01-13T08:42:16.110Z,-24.196,-66.9797,182.79,4.4,mb,,83,1.656,0.81,us,us6000d7zf,2021-01-13T09:49:17.040Z,"67 km W of San Antonio de los Cobres, Argentina",earthquake,4.6,9,0.131,17,reviewed,us,us
2021-01-13T06:27:15.662Z,-23.6968,-64.6913,35.69,4.6,mb,,85,3.29,1.02,us,us6000d7xt,2021-01-13T09:04:06.040Z,"11 km WNW of Caimancito, Argentina",earthquake,7.9,12.1,0.224,6,reviewed,us,us
2021-01-12T21:50:14.023Z,-60.5139,-44.5157,10,4.6,mb,,71,0.249,0.83,us,us7000d228,2021-01-21T23:14:22.040Z,"Scotia Sea",earthquake,7.2,1.9,0.173,10,reviewed,us,us
2021-01-12T11:04:36.422Z,-21.7198,-68.7162,114.54,4.9,mb,,40,0.494,1.02,us,us6000d7pn,2021-01-12T15:47:36.024Z,"84 km NNE of Calama, Chile",earthquake,5.8,4.7,0.049,130,reviewed,us,us
2021-01-12T07:55:11.991Z,-20.9354,-68.8921,109.15,4.1,mb,,53,0.566,0.7,us,us6000d7nl,2021-01-12T13:59:08.040Z,"153 km ESE of Iquique, Chile",earthquake,6.1,7.4,0.214,6,reviewed,us,us
2021-01-10T22:11:08.683Z,-22.4897,-68.5897,110.68,4.8,mwr,,35,0.596,1.08,us,us6000d7ba,2021-01-13T23:30:30.040Z,"34 km E of Calama, Chile",earthquake,5.1,4.1,0.056,31,reviewed,us,us
